# Rg    beta propensity
1.49488  15.71428571
1.55826  15
1.66067  10.71428571
1.49062  4.285714286
1.47016  20.71428571
1.49575  15.71428571
1.55774  17.14285714
1.67001  10.71428571
1.45518  12.85714286
1.45715  12.85714286
1.47816  10.71428571
1.47947  21.42857143
1.50186  15.71428571
 1.5023  15.71428571
1.65152  10.71428571
1.50783  15
1.45503  7.142857143
1.50712  15.71428571
1.45532  7.142857143
1.49596  15.71428571
1.51733  5.714285714
 1.4945  15.71428571
1.45397  7.857142857
1.50996  5.714285714
1.44969  5.714285714
1.44908  7.142857143
1.62816  24.28571429
1.62436  20
1.45778  14.28571429
1.45088  7.142857143
1.44796  8.571428571
1.47219  7.142857143
1.44855  8.571428571
1.45351  8.571428571
 1.4764  5.714285714
1.45451  5.714285714
1.50679  14.28571429
1.51749  7.142857143
1.47695  7.142857143
1.50699  5.714285714
1.46312  14.28571429
1.49623  5.714285714
1.52898  5.714285714
1.47763  5.714285714
1.62707  10.71428571
1.62361  10.71428571
1.47666  8.571428571
1.46898  5.714285714
1.46819  7.142857143
1.49479  5.714285714
 1.4758  5.714285714
1.49889  5.714285714
 1.6957  5.714285714
1.46362  15.71428571
1.69368  5.714285714
1.45571  8.571428571
1.45441  10.71428571
1.45708  10.71428571
1.45644  7.857142857
1.47045  7.142857143
1.61901  19.28571429
1.47497  8.571428571
 1.4697  7.142857143
1.47103  7.142857143
1.51617  7.142857143
1.51089  7.142857143
1.48644  5.714285714
1.48801  5.714285714
1.50644  14.28571429
1.51269  15
1.49445  5.714285714
  1.512  14.28571429
1.51232  14.28571429
1.54743  14.28571429
1.50251  14.28571429
1.52352  7.142857143
1.47663  17.85714286
1.63116  11.42857143
1.52063  5.714285714
1.52071  5.714285714
1.53434  5.714285714
1.51957  5.714285714
1.50635  14.28571429
1.51778  8.571428571
1.43924  8.571428571
1.45517  15.71428571
1.51328  15.71428571
1.50496  15.71428571
1.51996  15.71428571
 1.5199  15.71428571
 1.4967  6.428571429
1.48793  7.142857143
1.47534  7.142857143
 1.4712  8.571428571
1.45264  12.85714286
1.51675  7.142857143
1.45444  15.71428571
1.47874  7.142857143
1.51887  7.142857143
1.52569  7.142857143
1.65926  5.714285714
1.52265  5.714285714
1.54015  13.57142857
1.48492  5.714285714
1.51044  14.28571429
 1.5109  15.71428571
1.49916  15.71428571
 1.4582  14.28571429
1.45689  17.14285714
1.65992  5.714285714
1.63599  5.714285714
1.62801  19.28571429
1.48098  7.142857143
1.47718  7.142857143
1.55696  15
1.49444  15.71428571
 1.4898  7.142857143
1.48367  7.142857143
1.64611  5.714285714
 1.6463  5.714285714
1.46617  7.142857143
1.51297  8.571428571
1.56951  5.714285714
1.51204  14.28571429
1.57984  7.142857143
1.43814  17.85714286
1.44018  17.85714286
1.50877  7.142857143
1.50079  4.285714286
  1.459  8.571428571
1.50557  10
1.54499  7.142857143
1.45747  10
1.51197  10
1.62472  19.28571429
1.63405  22.14285714
1.48218  7.142857143
 1.4981  2.857142857
1.52858  7.142857143
1.54634  7.142857143
1.47781  7.857142857
1.47443  16.42857143
1.45849  16.42857143
1.53571  7.142857143
1.47466  23.57142857
1.46949  20.71428571
1.47258  23.57142857
1.53206  7.142857143
1.52524  7.142857143
1.63224  12.85714286
1.44539  16.42857143
1.43118  19.28571429
1.43642  17.85714286
1.43611  19.28571429
1.43939  17.85714286
1.59147  5.714285714
1.43719  19.28571429
1.44044  17.85714286
1.53371  7.142857143
 1.5345  8.571428571
1.62605  18.57142857
1.52879  8.571428571
1.45652  8.571428571
1.46277  8.571428571
1.52849  7.142857143
1.52524  10
1.64179  22.14285714
1.48931  4.285714286
1.42301  17.85714286
1.63437  17.85714286
1.52657  5.714285714
1.65268  12.14285714
1.42342  19.28571429
 1.4551  10
1.52394  8.571428571
 1.5333  7.142857143
1.52988  7.142857143
1.48617  19.28571429
1.52303  7.142857143
1.45699  10.71428571
1.45882  10.71428571
1.46624  8.571428571
1.43258  17.14285714
1.47354  8.571428571
1.56878  5.714285714
1.56982  5.714285714
1.50702  14.28571429
1.50284  14.28571429
1.50536  12.14285714
1.60584  22.85714286
1.61415  23.57142857
1.60974  21.42857143
1.61239  19.28571429
1.49511  2.857142857
1.50668  14.28571429
1.49163  4.285714286
1.61651  22.14285714
1.61331  19.28571429
1.51576  7.142857143
1.51488  7.142857143
1.49049  2.857142857
1.58412  5.714285714
1.42686  19.28571429
1.48384  6.428571429
1.46305  5.714285714
1.51595  7.142857143
1.51765  7.142857143
1.51706  5.714285714
1.51207  7.142857143
1.59567  24.28571429
1.51244  13.57142857
